fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,name_2,keep_for_od,trip_category,feature_source
8815,,"1486085612",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Mellieħa,Yes,Recreation,polygon
8824,,"23589812",Saint Mary's Gun Battery,,,,,,,,,,fort,,,,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
8825,,"23589850",,,,grave_yard,,wall,,,,,,,,,,,,,,,,,,Għajnsielem,Yes,Others,polygon
8828,,"24159895",Għajnsielem FC Soccer Ground,,,,,,,,,,,,,pitch,,,,,,,soccer,,,Għajnsielem,Yes,Recreation,polygon
8843,,"134876347",,,,toilets,,,,toilets,,,,,,,,,,,,,,,"""fee""=>""no"",""wheelchair""=>""yes""",Għajnsielem,Yes,Personal Errands,polygon
8848,,"136197374",Comino Hotel Bungalows,,,,,,,,,,,,,,,,,,,,,hotel,,Għajnsielem,Yes,Recreation,polygon
8853,,"136199373",Kappella tal-Ħarba mill-Eġittu,,,place_of_worship,,,,chapel,,,,,,,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:postcode""=>""KMN 1010"",""addr:street""=>""Triq il-Gvernatur Walter Congrève"",""denomination""=>""roman_catholic"",""name:en""=>""Chapel of Our Lady's Return from Egypt"",""name:mt""=>""Kappella tal-Ħarba mill-Eġittu"",""religion""=>""christian"",""wikidata""=>""Q24358824"",""wikimedia_commons""=>""Category:Comino Chapel"",""wikipedia""=>""en:Comino Chapel""",Għajnsielem,Yes,Recreation,polygon
8854,,"136507952",Żona ta 'stennija,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""customers"",""fee""=>""no"",""name:en""=>""Waiting Zone"",""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
8855,,"136507964",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
8859,,"137254141",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Għajnsielem,Yes,Recreation,polygon
8860,,"137254146",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
8862,,"137254150",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
8863,,"137254151",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
8865,,"137254153",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
8866,,"137254156",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
8867,,"137254158",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
8869,,"137254163",Comino Hotel,,,,,,,hotel,,,,,,,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:postcode""=>""KMN 1010"",""addr:street""=>""Triq San Niklaw"",""contact:website""=>""http://www.cominohotel.com"",""disused:tourism""=>""hotel"",""wheelchair""=>""yes""",Għajnsielem,Yes,Recreation,polygon
8873,,"139266516","Il-Kulleġġ Malti tal-Arti, Xjenza u Teknoloġija - Kampus t' Għawdex",,,college,,,,,,,,,,,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:postcode""=>""GSM 1063"",""addr:street""=>""Triq J. F. de Chambray"",""name:en""=>""The Malta College of Arts, Science & Technology - Gozo Campus"",""name:mt""=>""Il-Kulleġġ Malti tal-Arti, Xjenza u Teknoloġija - Kampus t' Għawdex"",""operator""=>""Università ta' Malta"",""operator:type""=>""university"",""short_name""=>""MCAST - Kampus t'Għawdex"",""short_name:en""=>""MCAST - Gozo Campus"",""short_name:mt""=>""MCAST - Kampus t'Għawdex""",Għajnsielem,Yes,Education,polygon
8874,,"140881572",Knisja Parrokkjali tal-Madonna ta' Loretu,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""addr:street""=>""Pjazza Madonna ta Loreto"",""denomination""=>""roman_catholic"",""image""=>""https://photos.app.goo.gl/5cGyBtCR2qE2VcZa7"",""name:ar""=>""كنيسة أبرشية سيدة لوريتو"",""name:cs""=>""P. Maria Loretánská"",""name:en""=>""Parish Church of Our Lady of Loreto"",""name:mt""=>""Knisja Parrokkjali tal-Madonna ta' Loretu"",""ref:nicpmi""=>""01063"",""religion""=>""christian"",""wikidata""=>""Q30623766"",""wikimedia_commons""=>""Category:Parish Church of Our Lady of Loreto, Għajnsielem"",""wikipedia""=>""en:Our Lady of Loreto Parish Church""",Għajnsielem,Yes,Recreation,polygon
8876,,"140917144",Il-Parroċċa tal-Madonna ta' Loreto,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""alt_name""=>""Il-Parroċċa tal-Madonna ta' Loretu"",""denomination""=>""roman_catholic"",""name:cs""=>""P. Maria Loretánská"",""name:en""=>""Our Lady of Loreto"",""name:mt""=>""Il-Parroċċa tal-Madonna ta' Loreto"",""religion""=>""christian""",Għajnsielem,Yes,Recreation,polygon
8877,,"140917153",Betleħem f'Għajnsielem,,,,,,,,,,,,,park,,,,,,,,attraction,"""addr:city""=>""Għajnsielem"",""website""=>""http://www.ghajnsielem.com/bethlehem/""",Għajnsielem,Yes,Recreation,polygon
8879,,"147708050",,,,police,,,,yes,,,,,,,,,,,,,,,,Għajnsielem,Yes,Personal Errands,polygon
8891,,"172193967",,,,,,,,,,,,,,pitch,,,,,,,soccer,,,Għajnsielem,Yes,Recreation,polygon
8892,,"172193969",,,,,,,,,,,,,,pitch,,,,,,,soccer,,,Għajnsielem,Yes,Recreation,polygon
8893,,"183450205",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
8895,,"183450208",Gozo Channel Terminal,,,,,,,transportation,,,,,,,,,,,,,,,"""building:levels""=>""3""",Għajnsielem,Yes,Others,polygon
8900,,"183451667",Mġarr ix-Xini Tower,,,,,,,yes,,,fort,,,,tower,,,,,,,,"""description""=>""Completed in 1661 at the end of Grand Master De Redin's reign as part of the system of towers constructed by the Knights of Malta for the defense of Malta and Gozo."",""end_date""=>""1661"",""height""=>""15"",""heritage""=>""2"",""int_name""=>""Mġarr ix-Xini Tower"",""level""=>""2"",""name:en""=>""Mġarr ix-Xini Coastal Tower"",""name:mt""=>""Torri ta’ Mġarr ix-Xini"",""ref:nicpmi""=>""00037"",""start_date""=>""1661"",""tower:construction""=>""stone"",""tower:type""=>""communication"",""website""=>""https://www.wirtghawdex.org/"",""wikidata""=>""Q19593873"",""wikimedia_commons""=>""Category:Mġarr ix-Xini Tower"",""wikipedia""=>""en:Mġarr ix-Xini Tower""",Għajnsielem,Yes,Recreation,polygon
8904,,"221974357",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
8908,,"222745317",,,,,,,,,,,,,,park,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
8911,,"222745336",Pjazzetta Għaxra ta' Diċembru,,,,,,,,,,,,,park,,,,,,,,,"""name:ar""=>""ساحة العاشر من ديسمبر""",Għajnsielem,Yes,Recreation,polygon
8915,,"261045175",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
8916,,"261093297",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Għajnsielem,Yes,Recreation,polygon
8920,,"261093387",Porto Vecchio Ristorante e Vinoteca,,,restaurant,,,,yes,,,,,,,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
8921,,"261093389",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Għajnsielem,Yes,Recreation,polygon
8922,,"261093395",Knisja ta' San Antnin ta' Padova,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""name:cs""=>""Sv. Antonín Paduánský"",""name:en""=>""Church of Saint Anthony of Padua"",""name:mt""=>""Knisja ta' San Antnin ta' Padova"",""ref:nicpmi""=>""01070"",""religion""=>""christian"",""wikidata""=>""Q38139088""",Għajnsielem,Yes,Recreation,polygon
8923,,"279285991",Amabile Cauchi,,,,,,,,,,,,,park,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:country""=>""MT""",Għajnsielem,Yes,Recreation,polygon
8933,,"315245633",,,,,,,,,,,,,,swimming_pool,,,,,,,,,"""access""=>""private""",Għajnsielem,Yes,Recreation,polygon
8934,,"315245637",Horatio's Tavern,,,pub,,,,yes,,,,,,,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
8935,,"315245640",Monkey's Fist Tavern,,,pub,,,,yes,,,,,,,,,,,,,,,"""layer""=>""1""",Għajnsielem,Yes,Recreation,polygon
8936,,"315245641",Ta' Tona,,,restaurant,,,,yes,,,,,,,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
8947,,"315245654",Cosy Apartments,,,,,,,hotel,,,,,,,,,,,,,,,"""website""=>""https://cosywaterfrontapt.xyz/""",Għajnsielem,Yes,Recreation,polygon
8957,,"315245665",Tmun restaurant,,,restaurant,,,,yes,,,,,,,,,,,,,,,"""image""=>""https://photos.app.goo.gl/CdZJvswUL7rKSooXA""",Għajnsielem,Yes,Recreation,polygon
8963,,"315247894",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
8964,,"315247895",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
8966,,"315247901",,,,,,,,school,,,,,,,,,,,,,,,"""building:levels""=>""1""",Għajnsielem,Yes,Education,polygon
8969,,"315247906",Our Lady of Lourdes Chapel,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""name:ar""=>""كنيسة سيدة لورد"",""name:cs""=>""kaple P. Marie Lurdské"",""name:mt""=>""Il-Kappella ta' Lourdes"",""religion""=>""christian"",""wikidata""=>""Q110389980"",""wikimedia_commons""=>""Category:Our Lady of Lourdes Church (Għajnsielem)""",Għajnsielem,Yes,Recreation,polygon
8979,,"315247919",,,,,,,,school,,,,,,,,,,,,,,,,Għajnsielem,Yes,Education,polygon
8983,,"315247923",,,,police,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:street""=>""Triq J. F. de Chambray"",""building:levels""=>""1""",Għajnsielem,Yes,Personal Errands,polygon
8993,,"315247933",,,,,,,,school,,,,,,,,,,,,,,,"""building:levels""=>""2""",Għajnsielem,Yes,Education,polygon
9005,,"315247945",,,,,,,,,,,,,,park,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9034,,"315358357",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
9035,,"315358358",,,,,,,,,,,,,,pitch,,,,,,,tennis,,"""lit""=>""no"",""surface""=>""concrete""",Għajnsielem,Yes,Recreation,polygon
9051,,"345872562",Santa Cecilja,,,,,,,chapel,,,,,,,,,,,,,,,"""disused""=>""yes"",""name:en""=>""Santa Ċeċilia Medieval Chapel""",Għajnsielem,Yes,Recreation,polygon
9052,,"345872578",,,,,,,,,,,,,,garden,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9059,,"362693897",,,,,,,,,,,,,,park,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9064,,"376962662",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Għajnsielem,Yes,Recreation,polygon
9066,,"376967828",Patri Bernerd Hersey,,,,,,,,,,,,,playground,,,,,,,,,"""access""=>""yes""",Għajnsielem,Yes,Recreation,polygon
9078,,"379506187",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Għajnsielem,Yes,Recreation,polygon
9080,,"379506192",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Għajnsielem,Yes,Recreation,polygon
9089,,"379509432",,,,,,,,,,,,,,park,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9098,,"382638141",,,,,,,,school,,,,,,,,,,,,,,,,Għajnsielem,Yes,Education,polygon
9108,,"403586620",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9114,,"414088928",,,,,,,,,,,,,,garden,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9143,,"470488503",,,,,,,,,,,,,,garden,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9149,,"498352970",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
9150,,"498352971",,,,parking,,,,,,,,,,,,,,,,,,,"""layer""=>""-1"",""parking""=>""underground""",Għajnsielem,Yes,Others,polygon
9155,,"502178878",,,,,,,,,,,,,,pitch,,,,,,,tennis,,,Għajnsielem,Yes,Recreation,polygon
9156,,"502178879",,,,,,,,,,,,,,pitch,,,,,,,tennis,,,Għajnsielem,Yes,Recreation,polygon
9220,,"518456526",Parroċċa Madonna ta' Loreto - Dar Parrokkjali,,,,,,,yes,,,,,,,,,,religion,,,,,"""addr:city""=>""Għajnsielem"",""addr:street""=>""Pjazza Indipendenza"",""building:levels""=>""2"",""name:en""=>""Madonna of Loreto Parish - Parochial House"",""name:mt""=>""Parroċċa Madonna ta' Loreto - Dar Parrokkjali""",Għajnsielem,Yes,Commuting to work,polygon
9245,,"540186392",Ċentru Ċiviku Għajnsielem,,,,,,,office,,,,,,,,,,government,,,,,"""addr:city""=>""Għajnsielem"",""addr:street""=>""Triq J. F. de Chambray"",""building:levels""=>""1"",""government""=>""local_authority"",""name:en""=>""Għajnsielem Civic Centre"",""name:mt""=>""Ċentru Ċiviku Għajnsielem""",Għajnsielem,Yes,Commuting to work,polygon
9260,,"548282767",,,,,,,,,,,,,,garden,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9264,,"548282776",,,,,,,,,,,,,,garden,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9265,,"548282783",,,,shelter,,,,,,,,,,,,,,,,,,,"""shelter_type""=>""gazebo""",Għajnsielem,Yes,Others,polygon
9272,,"597316156",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9278,,"625491867",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Għajnsielem,Yes,Others,polygon
9281,,"670959348",Gozo House of Praise,,,place_of_worship,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:country""=>""MT"",""addr:housenumber""=>""53"",""addr:postcode""=>""GHR1022"",""addr:street""=>""Triq il-Ġnien"",""denomination""=>""pentecostal"",""religion""=>""christian""",Għajnsielem,Yes,Recreation,polygon
9289,,"679435160",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9297,,"756915690",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9299,,"756915693",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9300,,"756915694",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9304,,"931318672",,,,,,,,school,,,,,,,,,,,,,,,,Għajnsielem,Yes,Education,polygon
9305,,"931318673",,,,post_office,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:street""=>""Triq J. F. de Chambray"",""building:levels""=>""1"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""website""=>""https://www.maltapost.com""",Għajnsielem,Yes,Personal Errands,polygon
9306,,"931318674",Skola Primarja Għajnsielem,,,school,,,,school,,,,,,,,,,,,,,,"""addr:city""=>""Għajnsielem"",""addr:street""=>""Triq J. F. de Chambray"",""grades""=>""1-6"",""name:en""=>""Għajnsielem Primary School"",""name:mt""=>""Skola Primarja Għajnsielem"",""operator""=>""Gvern ta' Malta"",""operator:type""=>""government"",""operator:wikidata""=>""Q5589242""",Għajnsielem,Yes,Education,polygon
9329,,"1118586430",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9340,,"1159574861",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9342,,"1159574866",,,,,,,,,,,,,,pitch,,,,,,,soccer,,,Għajnsielem,Yes,Recreation,polygon
9343,,"1159574867",,,,,,,,,,,,,,pitch,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9344,,"1182920600",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9349,,"1212444944",Gozo Highspeed ticket booth,,,,,,,transportation,,,,,,,,,,,,,,,"""building:levels""=>""1""",Għajnsielem,Yes,Others,polygon
9350,,"1212444945",,,,,,,,retail,,,,,,,,,,,,,,,,Għajnsielem,Yes,Shopping,polygon
9359,,"1258989498",,,,,,,,,,,,,,playground,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9360,,"1258989500",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9361,,"1258989501",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9362,,"1258989505",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Għajnsielem,Yes,Recreation,polygon
9382,,"1335046618",,,,parking_space,,,,,,,,,,,,,,,,,,,,Għajnsielem,Yes,Others,polygon
9385,,"1337981875",,,,parking_space,,,,,,,,,,,,,,,,,,,"""parking_space""=>""disabled""",Għajnsielem,Yes,Others,polygon
9386,,"1337981876",,,,parking_space,,,,,,,,,,,,,,,,,,,,Għajnsielem,Yes,Others,polygon
9387,,"1337981877",,,,parking_space,,,,,,,,,,,,,,,,,,,"""parking_space""=>""disabled""",Għajnsielem,Yes,Others,polygon
9388,,"1337981878",,,,parking_space,,,,,,,,,,,,,,,,,,,,Għajnsielem,Yes,Others,polygon
9395,,"1369606582",,,,parking_space,,,,,,,,,,,,,,,,,,,,Għajnsielem,Yes,Others,polygon
9396,,"1369606583",,,,parking_space,,,,,,,,,,,,,,,,,,,"""parking_space""=>""disabled""",Għajnsielem,Yes,Others,polygon
9410,,"1380408466",Tal-Ful Campsite,,,,,,,,,,,,,,,,,,,,,camp_site,"""backcountry""=>""yes"",""caravans""=>""no"",""fee""=>""no"",""openfire""=>""no"",""reservation""=>""no"",""sanitary_dump_station""=>""no"",""static_caravans""=>""no"",""tents""=>""yes"",""toilets""=>""no""",Għajnsielem,Yes,Recreation,polygon
9429,,"1432751236",RUST - Ghajnsielem Pump Track,,,,,,,,,,,,,pitch,,,,,,,cycling,,"""access""=>""yes"",""addr:city""=>""Għajnsielem"",""addr:country""=>""MT"",""addr:street""=>""Pjazzetta Għaxra ta' Diċembru"",""email""=>""rustgozo@gmail.com"",""mobile""=>""+356 9986 8980"",""opening_hours""=>""24/7"",""surface""=>""unpaved""",Għajnsielem,Yes,Recreation,polygon
9431,,"1432751253",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""permissive"",""fee""=>""no"",""parking""=>""surface"",""surface""=>""unpaved""",Għajnsielem,Yes,Others,polygon
9516,,"1457371862",,,,,,,,,,,,,,,,,,,,,,viewpoint,,Għajnsielem,Yes,Recreation,polygon
9519,,"1457371865",,,,parking,,,,,,,,,,,,,,,,,,,,Għajnsielem,Yes,Others,polygon
9521,,"1457371867",,,,parking,,,,,,,,,,,,,,,,,,,,Għajnsielem,Yes,Others,polygon
9590,,"140283599",,,,,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""6"",""source:height""=>""estimated""",Il-Fontana,Yes,Recreation,polygon
9592,,"275820389",,,,,,,,,,,,,,playground,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9593,,"275820391",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9604,,"470021736",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9605,,"470021737",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9662,,"1354558437",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9663,,"1354558438",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9664,,"1354558439",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9665,,"1354558440",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9666,,"1354558442",,,,fountain,,,,,,,,,,,,,,,,,,,,Il-Fontana,Yes,Others,polygon
9668,,"1354558449",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9669,,"1354558451",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9691,,"1354893564",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9701,,"1355001410",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9702,,"1355001411",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9704,,"1355001416",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9716,,"1355016391",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9783,,"1355264103",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9787,,"1355264112",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9798,,"1355269021",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9809,,"1355295622",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9810,,"1355295632",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Fontana,Yes,Others,polygon
9830,,"1355306578",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9831,,"1355306579",Lunzjata Mansions,,,,,,,yes,,,,,,,,,,,,,,apartment,"""building:levels""=>""1""",Il-Fontana,Yes,Recreation,polygon
9832,,"1355306587",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9833,,"1355327684",,,,shelter,,,,yes,,,,,,,,,,,,,,,"""shelter_type""=>""gazebo""",Il-Fontana,Yes,Others,polygon
9855,,"1355341219",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9865,,"1355347624",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Fontana,Yes,Others,polygon
9869,,"1355347632",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9871,,"1355347638",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9873,,"1355347643",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9884,,"1355461676",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9887,,"1355521291",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9890,,"1355521296",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9891,,"1355521297",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9892,,"1355521298",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9948,,"1355621706",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9971,,"1355627787",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9975,,"1355633863",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
9976,,"1355633866",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10049,,"1355884577",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10050,,"1355884578",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10051,,"1355884579",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10052,,"1355884580",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10070,,"1355886524",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10099,,"1355907299",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10190,,"1356070306",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10192,,"1356070308",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10197,,"1356070330",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10201,,"1356070342",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10202,,"1356070343",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10239,,"1356106026",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10274,,"1356127634",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10275,,"1356127635",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10276,,"1356127636",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10277,,"1356127637",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Il-Fontana,Yes,Recreation,polygon
10310,,"15799017",Kerċem Ajax Stadium,,,,,,,,,,,,,pitch,,,,,,,soccer,,,Ta' Kerċem,Yes,Recreation,polygon
10330,,"255181920",,,,,,,,,,,,,,pitch,,,,,,,tennis,,,Ta' Kerċem,Yes,Recreation,polygon
10331,,"255181930",,,,,,,,,,,,,,pitch,,,,,,,tennis,,,Ta' Kerċem,Yes,Recreation,polygon
10345,,"337003383",Saint Lucy Church,,,,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""4"",""source:height""=>""estimated""",Ta' Kerċem,Yes,Recreation,polygon
10347,,"337003395",Il-Knisja ta' Kerċem,,,,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""height""=>""6"",""name:en""=>""Kerċem Church"",""source:height""=>""estimated"",""wheelchair""=>""no""",Ta' Kerċem,Yes,Recreation,polygon
10349,,"338446851",Raymond Mercieca,,,,,,,,,,,,,sports_centre,,,,,,,,,,Ta' Kerċem,Yes,Recreation,polygon
10350,,"338446857",,,,,,,,school,,,,,,,,,,,,,,,"""building:levels""=>""1""",Ta' Kerċem,Yes,Education,polygon
10367,,"355016598",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Ta' Kerċem,Yes,Recreation,polygon
